Features,Seed,Accuracy
['three_black_crows'],8,0.0
['three_black_crows'],9,0.0
['three_inside'],0,0.0
['three_inside'],1,0.0
['three_inside'],2,0.0
['three_inside'],3,0.0
['three_inside'],4,0.0
['three_inside'],5,0.0
['three_inside'],6,0.0
['three_inside'],7,0.0
['three_inside'],8,0.0
['three_inside'],9,0.0
['three_lines'],0,0.0
['three_lines'],1,0.0
['three_lines'],2,0.0
['three_lines'],3,0.0
['three_lines'],4,0.0
['three_lines'],5,0.0
['three_lines'],6,0.0
['three_lines'],7,0.0
['three_lines'],8,0.0
['three_lines'],9,0.0
['three_outside'],0,0.0
['three_outside'],1,0.0
['three_outside'],2,0.0
['three_outside'],3,0.0
['three_outside'],4,0.0
['three_outside'],5,0.0
['three_outside'],6,0.0
['three_outside'],7,0.0
['three_outside'],8,0.0
['three_outside'],9,0.0
['three_stars'],0,0.0
['three_stars'],1,0.0
['three_stars'],2,0.0
['three_stars'],3,0.0
['three_stars'],4,0.0
['three_stars'],5,0.0
['three_stars'],6,0.0
['three_stars'],7,0.0
['three_stars'],8,0.0
['three_stars'],9,0.0
['three_whitesoldiers'],0,0.0
['three_whitesoldiers'],1,0.0
['three_whitesoldiers'],2,0.0
['three_whitesoldiers'],3,0.0
['three_whitesoldiers'],4,0.0
['three_whitesoldiers'],5,0.0
['three_whitesoldiers'],6,0.0
['three_whitesoldiers'],7,0.0
['three_whitesoldiers'],8,0.0
['three_whitesoldiers'],9,0.0
['abandoned_baby'],0,0.0
['abandoned_baby'],1,0.0
['abandoned_baby'],2,0.0
['abandoned_baby'],3,0.0
['abandoned_baby'],4,0.0
['abandoned_baby'],5,0.0
['abandoned_baby'],6,0.0
['abandoned_baby'],7,0.0
['abandoned_baby'],8,0.0
['abandoned_baby'],9,0.0
['advance_block'],0,0.0
['advance_block'],1,0.0
['advance_block'],2,0.0
['advance_block'],3,0.0
['advance_block'],4,0.0
['advance_block'],5,0.0
['advance_block'],6,0.0
['advance_block'],7,0.0
['advance_block'],8,0.0
['advance_block'],9,0.0
['belthold'],0,33.12356979405035
['belthold'],1,33.12356979405035
['belthold'],2,33.12356979405035
['belthold'],3,33.12356979405035
['belthold'],4,33.12356979405035
['belthold'],5,33.12356979405035
['belthold'],6,33.12356979405035
['belthold'],7,33.12356979405035
['belthold'],8,0.0
['belthold'],9,0.0
['breakaway'],0,0.0
['breakaway'],1,0.0
['breakaway'],2,0.0
['breakaway'],3,0.0
['breakaway'],4,0.0
['breakaway'],5,0.0
['breakaway'],6,0.0
['breakaway'],7,0.0
['breakaway'],8,0.0
['breakaway'],9,0.0
['closing_marubozu'],0,0.0
['closing_marubozu'],1,32.951945080091534
['closing_marubozu'],2,0.0
['closing_marubozu'],3,0.0
['closing_marubozu'],4,32.951945080091534
['closing_marubozu'],5,32.951945080091534
['closing_marubozu'],6,32.951945080091534
['closing_marubozu'],7,32.951945080091534
['closing_marubozu'],8,0.0
['closing_marubozu'],9,0.0
['conceal_baby'],0,0.0
['conceal_baby'],1,0.0
['conceal_baby'],2,0.0
['conceal_baby'],3,0.0
['conceal_baby'],4,0.0
['conceal_baby'],5,0.0
['conceal_baby'],6,0.0
['conceal_baby'],7,0.0
['conceal_baby'],8,0.0
['conceal_baby'],9,0.0
['counterattack'],0,0.0
['counterattack'],1,0.0
['counterattack'],2,0.0
['counterattack'],3,0.0
['counterattack'],4,0.0
['counterattack'],5,0.0
['counterattack'],6,0.0
['counterattack'],7,0.0
['counterattack'],8,0.0
['counterattack'],9,0.0
