Features,Accuracy
"['high_pc', 'stalled_pattern']",28.52177468820282
"['high_pc', 'stick_sandwich']",28.603557554692294
"['high_pc', 'takuri']",30.85258638315273
"['high_pc', 'tasuki_gap']",46.86158249846657
"['high_pc', 'thrusting']",28.664894704559394
"['high_pc', 'tristar']",46.80024534859947
"['high_pc', 'unique_3_river']",28.562666121447556
"['high_pc', 'upside_gap_2_crows']",28.603557554692294
"['high_pc', 'side_gap_3_methods']",46.80024534859947
"['high_pc', 'ad']",39.62379881414844
"['high_pc', 'adosc']",33.019832345123696
"['high_pc', 'obv']",40.237170312819465
"['high_pc', 'adx']",37.96769576773666
['tr'],27.928848906154162
"['open_pc', 'tr']",39.56246166428134
"['high_pc', 'tr']",44.04007360457984
"['high_pc', 'ht_trendline']",28.70578613780413
"['high_pc', 'kama']",39.03087303209978
"['high_pc', 'mama']",42.40441627479043
"['high_pc', 'fama']",42.71110202412595
"['high_pc', 'sar']",37.476998568799836
"['high_pc', 'volatility']",33.40830096094869
"['low_pc', 'close_pc']",48.640359844612554
"['low_pc', 'volume_pc']",28.19464322224494
"['low_pc', 'vwap_pc']",42.75199345737068
"['low_pc', 'fracocp']",45.900633817215294
"['low_pc', 'frachp']",30.893477816397464
"['low_pc', 'fraclp']",34.696381108157844
"['low_pc', 'sma_1']",44.85790226947455
"['low_pc', 'sma_2']",33.019832345123696
"['low_pc', 'sma_3']",33.30607237783684
"['low_pc', 'sma_4']",36.78184420363934
"['low_pc', 'ema_1']",34.51236965855653
"['low_pc', 'ema_2']",28.583111838069925
"['low_pc', 'ema_3']",33.101615211613165
"['low_pc', 'ema_4']",36.25025557145778
"['low_pc', 'atr']",44.96013085258638
"['low_pc', 'natr']",44.776119402985074
"['low_pc', 'tr']",39.705581680637906
"['low_pc', 'rsi']",34.00122674299734
"['low_pc', 'slow_k']",32.09977509711715
"['low_pc', 'slow_d']",32.18155796360662
"['low_pc', 'three_black_crows']",28.624003271314656
"['low_pc', 'three_inside']",46.82069106522184
"['low_pc', 'three_lines']",46.922919648333675
"['low_pc', 'three_outside']",28.603557554692294
"['low_pc', 'three_stars']",24.4939685135964
"['low_pc', 'three_whitesoldiers']",24.473522796974034
"['low_pc', 'abandoned_baby']",0.0
"['low_pc', 'advance_block']",24.4939685135964
"['low_pc', 'belthold']",44.96013085258638
"['low_pc', 'breakaway']",24.4939685135964
"['low_pc', 'closing_marubozu']",24.4939685135964
"['low_pc', 'conceal_baby']",26.293191576364748
"['low_pc', 'counterattack']",0.0
"['low_pc', 'dark_cloud_cover']",28.603557554692294
"['low_pc', 'doji']",24.4939685135964
"['low_pc', 'doji_star']",46.61623389899816
"['low_pc', 'dragonfly_doji']",30.50500920057248
"['low_pc', 'engulfing']",22.531179717849113
"['low_pc', 'evening_doji_star']",46.902473931711306
"['low_pc', 'evening_star']",46.96381108157841
"['low_pc', 'gap_side_by_side']",24.4939685135964
"['low_pc', 'gravestone_doji']",26.41586587609896
"['low_pc', 'hammer']",26.55898589245553
"['low_pc', 'hanging_man']",24.902882846043752
"['low_pc', 'harami']",24.616642813330607
"['low_pc', 'harami_cross']",46.14598241668371
"['low_pc', 'high_wave']",44.714782253117974
"['low_pc', 'hikkake']",24.4939685135964
"['low_pc', 'homing_pigeon']",24.534859946841138
"['low_pc', 'identical_three_crows']",24.596197096708238
"['low_pc', 'in_neck']",47.69985687998364
"['low_pc', 'inverted_hammer']",24.882437129421387
"['low_pc', 'kicking']",0.0
"['low_pc', 'kicking_by_length']",28.70578613780413
"['low_pc', 'ladder_bottom']",24.4939685135964
"['low_pc', 'long_leader']",31.833980781026376
"['low_pc', 'long_line']",44.244530770803514
"['low_pc', 'marubozu']",24.4939685135964
"['low_pc', 'matching_low']",25.495808628092416
"['low_pc', 'mat_hold']",0.0
"['low_pc', 'morning_doji_star']",24.51441423021877
"['low_pc', 'morning_star']",24.575751380085872
"['low_pc', 'on_neck']",24.555305663463503
"['low_pc', 'piercing']",24.51441423021877
"['low_pc', 'rickshaw_man']",24.4939685135964
"['low_pc', 'rise_fall_three_methods']",46.88202821508894
"['low_pc', 'separating_lines']",46.86158249846657
"['low_pc', 'shooting_star']",24.616642813330607
"['low_pc', 'short_line']",34.32835820895522
"['low_pc', 'spinning_top']",42.56798200776937
"['low_pc', 'stalled_pattern']",24.575751380085872
"['low_pc', 'stick_sandwich']",24.51441423021877
"['low_pc', 'takuri']",27.131465957881822
"['low_pc', 'tasuki_gap']",46.86158249846657
"['low_pc', 'thrusting']",24.4939685135964
"['low_pc', 'tristar']",46.80024534859947
"['low_pc', 'unique_3_river']",24.51441423021877
"['low_pc', 'upside_gap_2_crows']",24.51441423021877
"['low_pc', 'side_gap_3_methods']",46.80024534859947
"['low_pc', 'ad']",39.99182171335106
"['low_pc', 'adosc']",38.642404416274786
"['low_pc', 'obv']",41.01410754446944
"['low_pc', 'adx']",36.47515845430382
"['low_pc', 'ht_trendline']",32.058883663872415
"['low_pc', 'kama']",35.94356982212227
"['low_pc', 'mama']",32.3860151298303
"['low_pc', 'fama']",32.20200368022899
"['low_pc', 'sar']",35.187078307094666
"['low_pc', 'volatility']",33.75587814352893
"['close_pc', 'volume_pc']",25.61848292782662
"['close_pc', 'vwap_pc']",47.31138826415866
"['close_pc', 'fracocp']",40.50296462891024
"['close_pc', 'frachp']",30.48456348395011
"['close_pc', 'fraclp']",32.999386628501334
"['close_pc', 'sma_1']",40.70742179513392
"['close_pc', 'sma_2']",33.776323860151294
"['close_pc', 'sma_3']",34.02167245961971
"['close_pc', 'sma_4']",32.69270087916581
"['close_pc', 'ema_1']",42.87466775710488
"['close_pc', 'ema_2']",42.936004906971995
"['close_pc', 'ema_3']",36.55694132079329
"['close_pc', 'ema_4']",33.98078102637497
"['close_pc', 'atr']",46.28910243304028
"['close_pc', 'natr']",46.28910243304028
"['close_pc', 'tr']",24.94377427928849
"['close_pc', 'rsi']",38.70374156614189
"['close_pc', 'slow_k']",35.67777550603148
"['close_pc', 'slow_d']",33.20384379472501
"['close_pc', 'three_black_crows']",28.726231854426498
"['close_pc', 'three_inside']",46.82069106522184
"['close_pc', 'three_lines']",46.922919648333675
"['close_pc', 'three_outside']",46.0846452668166
"['close_pc', 'three_stars']",24.4939685135964
"['close_pc', 'three_whitesoldiers']",24.473522796974034
"['close_pc', 'abandoned_baby']",0.0
"['close_pc', 'advance_block']",24.4939685135964
"['close_pc', 'belthold']",44.96013085258638
"['close_pc', 'breakaway']",24.4939685135964
"['close_pc', 'closing_marubozu']",24.4939685135964
"['close_pc', 'conceal_baby']",0.0
"['close_pc', 'counterattack']",0.0
"['close_pc', 'dark_cloud_cover']",28.235534655489676
"['close_pc', 'doji']",33.16295236148027
"['close_pc', 'doji_star']",46.61623389899816
"['close_pc', 'dragonfly_doji']",30.8730320997751
"['close_pc', 'engulfing']",23.88059701492537
"['close_pc', 'evening_doji_star']",46.902473931711306
"['close_pc', 'evening_star']",46.96381108157841
"['close_pc', 'gap_side_by_side']",46.86158249846657
"['close_pc', 'gravestone_doji']",24.739317113064814
"['close_pc', 'hammer']",26.55898589245553
"['close_pc', 'hanging_man']",24.902882846043752
"['close_pc', 'harami']",23.38989981598855
"['close_pc', 'harami_cross']",46.14598241668371
"['close_pc', 'high_wave']",44.714782253117974
"['close_pc', 'hikkake']",29.421386219587
"['close_pc', 'homing_pigeon']",24.534859946841138
"['close_pc', 'identical_three_crows']",24.596197096708238
"['close_pc', 'in_neck']",48.170108362298095
"['close_pc', 'inverted_hammer']",24.882437129421387
"['close_pc', 'kicking']",0.0
"['close_pc', 'kicking_by_length']",0.0
