Features,Accuracy
"['high_pc', 'conceal_baby']",43.15293152931529
"['high_pc', 'counterattack']",28.782287822878228
"['high_pc', 'dark_cloud_cover']",28.823288232882327
"['high_pc', 'doji']",28.761787617876177
"['high_pc', 'doji_star']",42.61992619926199
"['high_pc', 'dragonfly_doji']",29.97129971299713
"['high_pc', 'engulfing']",24.354243542435423
"['high_pc', 'evening_doji_star']",28.700287002870027
"['high_pc', 'evening_star']",28.700287002870027
"['high_pc', 'gap_side_by_side']",42.61992619926199
"['high_pc', 'gravestone_doji']",30.09430094300943
"['high_pc', 'hammer']",28.51578515785158
"['high_pc', 'hanging_man']",30.31980319803198
"['high_pc', 'harami']",41.86141861418614
"['high_pc', 'harami_cross']",29.110291102911027
"['high_pc', 'high_wave']",41.348913489134894
"['high_pc', 'hikkake']",40.30340303403034
"['high_pc', 'homing_pigeon']",28.72078720787208
"['high_pc', 'identical_three_crows']",28.761787617876177
"['high_pc', 'in_neck']",28.761787617876177
"['high_pc', 'inverted_hammer']",28.90528905289053
"['high_pc', 'kicking']",42.701927019270194
"['high_pc', 'kicking_by_length']",42.68142681426814
"['high_pc', 'ladder_bottom']",28.24928249282493
"['high_pc', 'long_leader']",34.132841328413285
"['high_pc', 'long_line']",41.348913489134894
"['high_pc', 'marubozu']",42.10742107421074
"['high_pc', 'matching_low']",28.94628946289463
"['high_pc', 'mat_hold']",42.701927019270194
"['high_pc', 'morning_doji_star']",28.761787617876177
"['high_pc', 'morning_star']",28.843788437884378
"['high_pc', 'on_neck']",28.761787617876177
"['high_pc', 'piercing']",28.782287822878228
"['high_pc', 'rickshaw_man']",32.10332103321033
"['high_pc', 'rise_fall_three_methods']",28.761787617876177
"['high_pc', 'separating_lines']",42.72242722427224
"['high_pc', 'shooting_star']",29.37679376793768
"['high_pc', 'short_line']",28.59778597785978
"['high_pc', 'spinning_top']",39.66789667896679
"['high_pc', 'stalled_pattern']",28.761787617876177
"['high_pc', 'stick_sandwich']",28.761787617876177
"['high_pc', 'takuri']",30.463304633046327
"['high_pc', 'tasuki_gap']",42.66092660926609
"['high_pc', 'thrusting']",28.802788027880275
"['high_pc', 'tristar']",42.476424764247646
"['high_pc', 'unique_3_river']",28.761787617876177
"['high_pc', 'upside_gap_2_crows']",28.26978269782698
"['high_pc', 'side_gap_3_methods']",42.66092660926609
"['high_pc', 'ad']",29.253792537925378
"['high_pc', 'adosc']",29.581795817958177
"['high_pc', 'obv']",41.20541205412054
"['high_pc', 'adx']",34.952849528495285
"['high_pc', 'ht_trendline']",37.392373923739235
"['high_pc', 'kama']",41.28741287412874
"['high_pc', 'mama']",30.217302173021732
"['high_pc', 'fama']",43.111931119311194
"['high_pc', 'sar']",33.25133251332513
"['high_pc', 'volatility']",34.03034030340304
"['low_pc', 'close_pc']",42.189421894218945
"['low_pc', 'volume_pc']",32.86182861828618
"['low_pc', 'vwap_pc']",39.77039770397704
"['low_pc', 'fracocp']",48.25748257482575
"['low_pc', 'frachp']",32.59532595325953
"['low_pc', 'fraclp']",32.656826568265686
"['low_pc', 'sma_1']",28.228782287822877
"['low_pc', 'sma_2']",42.31242312423124
"['low_pc', 'sma_3']",37.61787617876179
"['low_pc', 'sma_4']",37.45387453874539
"['low_pc', 'ema_1']",41.184911849118485
"['low_pc', 'ema_2']",44.15744157441574
"['low_pc', 'ema_3']",28.782287822878228
"['low_pc', 'ema_4']",29.49979499794998
"['low_pc', 'atr']",38.23288232882329
"['low_pc', 'natr']",38.56088560885609
"['low_pc', 'tr']",30.053300533005327
"['low_pc', 'rsi']",41.758917589175894
"['low_pc', 'slow_k']",33.00533005330053
"['low_pc', 'slow_d']",33.37433374333743
"['low_pc', 'three_black_crows']",42.64042640426404
"['low_pc', 'three_inside']",42.94792947929479
"['low_pc', 'three_lines']",42.76342763427634
"['low_pc', 'three_outside']",42.435424354243544
"['low_pc', 'three_stars']",0.0
"['low_pc', 'three_whitesoldiers']",28.51578515785158
"['low_pc', 'abandoned_baby']",28.49528495284953
"['low_pc', 'advance_block']",28.49528495284953
"['low_pc', 'belthold']",41.779417794177945
"['low_pc', 'breakaway']",43.05043050430504
"['low_pc', 'closing_marubozu']",28.228782287822877
"['low_pc', 'conceal_baby']",0.0
"['low_pc', 'counterattack']",28.474784747847476
"['low_pc', 'dark_cloud_cover']",28.454284542845425
"['low_pc', 'doji']",28.59778597785978
"['low_pc', 'doji_star']",42.61992619926199
"['low_pc', 'dragonfly_doji']",29.704797047970477
"['low_pc', 'engulfing']",24.907749077490777
"['low_pc', 'evening_doji_star']",42.68142681426814
"['low_pc', 'evening_star']",42.66092660926609
"['low_pc', 'gap_side_by_side']",42.61992619926199
"['low_pc', 'gravestone_doji']",29.68429684296843
"['low_pc', 'hammer']",31.07831078310783
"['low_pc', 'hanging_man']",28.65928659286593
"['low_pc', 'harami']",41.88191881918819
"['low_pc', 'harami_cross']",28.49528495284953
"['low_pc', 'high_wave']",41.348913489134894
"['low_pc', 'hikkake']",39.72939729397294
"['low_pc', 'homing_pigeon']",28.413284132841326
"['low_pc', 'identical_three_crows']",28.65928659286593
"['low_pc', 'in_neck']",28.49528495284953
"['low_pc', 'inverted_hammer']",28.864288642886425
"['low_pc', 'kicking']",28.49528495284953
"['low_pc', 'kicking_by_length']",28.49528495284953
"['low_pc', 'ladder_bottom']",43.21443214432144
"['low_pc', 'long_leader']",34.31734317343174
"['low_pc', 'long_line']",41.348913489134894
"['low_pc', 'marubozu']",42.10742107421074
"['low_pc', 'matching_low']",29.171791717917177
"['low_pc', 'mat_hold']",28.51578515785158
"['low_pc', 'morning_doji_star']",28.49528495284953
"['low_pc', 'morning_star']",43.48093480934809
"['low_pc', 'on_neck']",28.51578515785158
"['low_pc', 'piercing']",28.51578515785158
"['low_pc', 'rickshaw_man']",31.980319803198032
"['low_pc', 'rise_fall_three_methods']",42.68142681426814
"['low_pc', 'separating_lines']",42.72242722427224
"['low_pc', 'shooting_star']",29.56129561295613
"['low_pc', 'short_line']",31.098810988109882
"['low_pc', 'spinning_top']",39.66789667896679
"['low_pc', 'stalled_pattern']",28.49528495284953
"['low_pc', 'stick_sandwich']",28.53628536285363
"['low_pc', 'takuri']",30.44280442804428
"['low_pc', 'tasuki_gap']",42.66092660926609
"['low_pc', 'thrusting']",28.474784747847476
"['low_pc', 'tristar']",42.476424764247646
"['low_pc', 'unique_3_river']",28.51578515785158
"['low_pc', 'upside_gap_2_crows']",0.0
"['low_pc', 'side_gap_3_methods']",42.66092660926609
"['low_pc', 'ad']",42.189421894218945
"['low_pc', 'adosc']",28.228782287822877
"['low_pc', 'obv']",29.97129971299713
"['low_pc', 'adx']",34.829848298482986
"['low_pc', 'ht_trendline']",35.67035670356704
"['low_pc', 'kama']",38.37638376383764
"['low_pc', 'mama']",30.29930299302993
"['low_pc', 'fama']",42.476424764247646
"['low_pc', 'sar']",31.918819188191883
"['low_pc', 'volatility']",34.276342763427635
"['close_pc', 'volume_pc']",34.132841328413285
"['close_pc', 'vwap_pc']",46.658466584665845
"['close_pc', 'fracocp']",45.05945059450595
"['close_pc', 'frachp']",31.098810988109882
"['close_pc', 'fraclp']",26.199261992619927
"['close_pc', 'sma_1']",44.772447724477246
"['close_pc', 'sma_2']",28.59778597785978
"['close_pc', 'sma_3']",27.69577695776958
"['close_pc', 'sma_4']",37.16687166871669
"['close_pc', 'ema_1']",43.439934399344
"['close_pc', 'ema_2']",44.42394423944239
"['close_pc', 'ema_3']",39.134891348913484
"['close_pc', 'ema_4']",37.72037720377204
"['close_pc', 'atr']",33.55883558835588
"['close_pc', 'natr']",41.656416564165646
"['close_pc', 'tr']",27.900779007790078
"['close_pc', 'rsi']",42.0869208692087
"['close_pc', 'slow_k']",33.00533005330053
"['close_pc', 'slow_d']",33.94833948339483
"['close_pc', 'three_black_crows']",28.782287822878228
"['close_pc', 'three_inside']",42.94792947929479
"['close_pc', 'three_lines']",42.76342763427634
"['close_pc', 'three_outside']",42.435424354243544
"['close_pc', 'three_stars']",0.0
"['close_pc', 'three_whitesoldiers']",42.64042640426404
"['close_pc', 'abandoned_baby']",28.761787617876177
"['close_pc', 'advance_block']",42.599425994259946
"['close_pc', 'belthold']",41.779417794177945
"['close_pc', 'breakaway']",0.0
"['close_pc', 'closing_marubozu']",42.025420254202544
"['close_pc', 'conceal_baby']",43.02993029930299
"['close_pc', 'counterattack']",28.823288232882327
"['close_pc', 'dark_cloud_cover']",28.823288232882327
"['close_pc', 'doji']",28.761787617876177
"['close_pc', 'doji_star']",42.61992619926199
"['close_pc', 'dragonfly_doji']",41.88191881918819
"['close_pc', 'engulfing']",24.108241082410824
